1,活跃度,点赞数,互粉数,出生日期,品牌名,城市级别,评论数,发表日期,正负面,文章类型,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,爱好,用户名,原文地址,用户标注情感,价格标签,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,原微博内容,情感,店名,抓取来源,微博数,标签,发布终端,内容,标题,用户标志,是否为水军,认证类型,产品名
70,,0,9,,tian_三九,五线城市,0,2016/1/28 7:05,,转发,20,女,3.93615E+19,0,1,支气管炎,副作用,科普,又没头脑又不高兴又,http://weibo.com/1853056051/DfayfgjQG,,,其他,,,1132,,0,3.9358E+15,#微感动#【风雪中，他把救命药送上山[心]】山区一名两岁半男孩发烧，却因雪厚封路无法来就诊，他背起药箱出诊。踩着没过脚踝的雪前进，球鞋透湿、雪片打脸上像刀割…他在风雪中走一个半小时，终于到男孩家！他说帮上忙就好，“脚是冰凉的，心是热的！”浙江医生袁巍巍仁心是本[赞]http://t.cn/RbEpx4A,-1,,新浪微博,63858,未打标签,魅族 MX4 Pro,三拗片有副作用没？//@央视新闻:#正能量#【给孩子看完病，他又去为村里别的感冒病人治疗】来到生病男孩小辉辉家后，袁巍巍赶紧给小辉辉做检查，孩子被确诊为“急性支气管炎”。袁巍巍仔细告知辉辉父母注意事项并送上药物。得知村里还有6位感冒村民，大都六七十岁，他又赶紧去为那些病人看病、配药。,,1853056051,真实用户,普通用户,发炎
71,,0,162,,tian_三九,其他,0,2016/1/28 4:41,,转发,901,女,3.93612E+19,0,1,支气管炎,评论|中国网|高潮,旅行|银土|美食|处女座|么,草莓味的宝,http://weibo.com/1775300480/Df9C9bTY8,,,海外,,加拿大,8553,,0,3.9358E+15,#微感动#【风雪中，他把救命药送上山[心]】山区一名两岁半男孩发烧，却因雪厚封路无法来就诊，他背起药箱出诊。踩着没过脚踝的雪前进，球鞋透湿、雪片打脸上像刀割…他在风雪中走一个半小时，终于到男孩家！他说帮上忙就好，“脚是冰凉的，心是热的！”浙江医生袁巍巍仁心是本[赞]http://t.cn/RbEpx4A,1,,新浪微博,9116,未打标签,草莓味?iPhone 6,这个评论里的中国网们也都高潮了 //@央视新闻:#正能量#【给孩子看完病，他又去为村里别的感冒病人治疗[赞]】来到生病男孩小辉辉家后，袁巍巍赶紧给小辉辉做检查，孩子被确诊为“急性支气管炎”。袁巍巍仔细告知辉辉父母注意事项并送上药物。得知村里还有6位感冒村民，大都六,,1775300480,真实用户,微博达人,发炎
72,,0,41,1986,tian_三九,三线城市,0,2015/8/13 14:45,,原创,175,女,3.87539E+19,0,1,高烧,今天|小儿子|输血|顺利|中途|发高烧|又哭又闹|舒服|希望|退烧|水滴|快点|现在|睡着|可怜|儿子,,重型地贫俊杰俊强兄弟盼新生,http://weibo.com/5598473556/CvDdXe9oN,,,广西,,玉林,129,,0,,,-1,,新浪微博,542,未打标签,Android客户端,今天小儿子输血很不顺利，中途发高烧了，又哭又闹的，不舒服又吐，希望这瓶退烧的药水滴完快点好输上血。现在哭累了，睡着了，可怜的儿子,,5598473556,真实用户,普通用户,发烧
73,,0,15,1986,tian_三九,二线城市,0,2016/1/5 11:04,,原创,68,女,3.92788E+19,0,1,发烧,劲爆|反馈|宝贝|昨晚|发烧|39度|土豪|宝贝|宝宝|湿气|寒气|幸好|有?鑫|足道|宝贝|吃药|受罪,,爱奥儿AOR-魔力show-金鱼,http://weibo.com/2974531371/DbHhR74sZ,,,内蒙古,,呼和浩特,3402,,0,,,1,,新浪微博,1170,未打标签,iPhone 6s Plus,???劲爆反馈?宝贝昨晚发烧39度??立马贴了土豪贴给宝贝?今早烧就退了?大家来看，宝宝有多少湿气和寒气???幸好有?鑫足道，让宝贝少吃药少受罪???,,2974531371,真实用户,普通用户,发烧
74,,0,1,,tian_三九,二线城市,0,2015/12/28 17:22,,原创,28,女,3.92508E+19,0,1,感冒,今天|家务|左手|昨晚|水果刀|切开|一直|儿子|有耐心|看到|不认真|做作业|淘气|看电视|忍不住|之前|所有|认知|早晨|感冒|咳嗽|看病|上学|之间|纠结|上学|纠结|完全|融入|家务|纠结|下午|放学|小屁孩|学校|咳嗽,心理咨询师|阅读|育儿|文字,wangyang2059,http://weibo.com/1457272305/Dawly7Il9,,,云南,,昆明,128,,0,,,-1,,新浪微博,1546,未打标签,微博 weibo.com,今天做了很多家务，尽管左手昨晚被水果刀切开了。一直说对儿子有耐心，不要老骂他，但看到他不认真做作业淘气就看电视还哄我就忍不住，之前的所有认知全抛脑后，早晨因为他感冒咳嗽，在看病和上学之间纠结，他上学后我又纠结，但完全融入家务后呢些纠结没有了。下午放学小屁孩说在学校没有咳嗽,,1457272305,真实用户,普通用户,感冒
75,,5,27,,tian_三九,三线城市,12,2015/12/28 17:21,,原创,274,女,3.92508E+19,17,1,感冒,唐安麒|宇宙|?食|稍微|感冒|运动|体质|天天|运动|不见得|头疼|感冒|吃药|预防|传染给|儿子|失败|早餐|午餐|一起|苹果|酸奶|晚餐|三块|排骨|大白菜,,花开在途1983,http://weibo.com/2664795295/Dawl3Fp9S,,,浙江,,宁波,2902,,0,,,-1,,新浪微博,739,未打标签,iPhone客户端,#唐安麒宇宙?食#稍微有点感冒，不运动体质就是差，天天运动也不见得头疼感冒，要吃药预防不能传染给儿子，全菜失败，早餐、午餐一起：苹果+酸奶，晚餐：三块排骨+大白菜。@loujiemin-敏 @lcn52112 @杨fen燕 @迦??2576,唐安麒宇宙?食,2664795295,真实用户,普通用户,感冒
76,,0,42,,tian_三九,三线城市,0,2016/1/5 9:16,,原创,222,女,3.92785E+19,2,1,退烧,海淘|destin|米粉|香蕉|字母|恐龙|ddrops|挪威|小鱼|退烧|退烧,厦门|娱乐|音乐|新闻|养生,女汉子的麻麻,http://weibo.com/1986874395/DbGzXAd9t,,,福建,,三明,317,,2,,,1,,新浪微博,535,未打标签,360安全浏览器,都是自己海淘的，destin护臀膏、禧贝米粉，香蕉牙胶、字母面、恐龙面、ddrops、挪威小鱼、退烧贴、退烧栓、钙镁锌、膳魔师@青蛙妈妈疯狂转 @A_LIN跃霖妈韩代帮转转平台 @小宝贝团购母婴闲置转让 @深圳母婴海淘团购闲置交易平台 @cc麻麻帮转号 @母婴用品闲置区 @宝贝说母婴二手闲置 @啊呜妈咪母婴二手,,1986874395,真实用户,普通用户,发烧
77,,0,4,1986,tian_三九,三线城市,2,2016/4/26 1:34,,原创,78,女,3.96832E+19,2,1,感冒,孩子|感冒|感觉|一个人|力量|渺小|难过,,雨里的旧春光,http://weibo.com/1548378421/DsFqgecBv,,,辽宁,,大连,48,,0,,,-1,,新浪微博,797,未打标签,小米手机2,孩子感冒了，感觉我一个人力量好渺小，很难过。 http://t.cn/RyhO6WD,,1548378421,真实用户,普通用户,感冒
78,,0,71,,tian_三九,二线城市,0,2015/9/13 22:11,,原创,177,女,3.88674E+19,0,1,低烧,15|上午|爸爸|机器人|下午|妈妈|黄人|晚上|爸爸妈妈|吃饭|一天|充实|电梯|大方|陌生|小姐姐|黄人|电影|3d|周五|中午|弟弟|发烧|妈咪|提心吊胆|今天|傍晚|终于|过去|低烧|坚强|宝贝|扛过去,辅食|幼儿园|电影,Jessica-love-Hippo,http://weibo.com/1864623132/CAooi9dZt,,,江苏,,南京,700,,0,,,1,,新浪微博,4234,未打标签,iPhone 6,??3Y5M15D 上午和爸爸出去上机器人课，下午和妈妈出去看小黄人，晚上和爸爸妈妈出去吃饭，这一天太充实了。电梯里大方的对陌生小姐姐说，我们看小黄人电影去，3D的哦！从周五中午弟弟发烧开始妈咪就在提心吊胆，今天傍晚终于还是躲不过去开始低烧了…?坚强的宝贝，一定要扛过去！??,,1864623132,真实用户,微博达人,发烧
79,,0,117,,tian_三九,三线城市,0,2015/5/28 12:40,,原创,713,女,3.84745E+19,0,1,感冒,力荐|宝宝|免疫力|容易|感冒|不爱|吃饭|发育|不太好|情况|一些|bio|island|系列|口碑|产品|适合|一岁|宝宝|增强|免疫力|促进|发育|提高|食欲|保护|良好|视力|一瓶|120粒|小熊|咀嚼片|每天|一粒,旅行|东莞|旅游|东莞人|东莞美食,liangshuyi259151晴MUM,http://weibo.com/2123961127/CjUv3tgu0,,,广东,,东莞,403,,0,,,1,,新浪微博,1510,未打标签,荣耀3X畅玩版,.? 力荐这个锌，宝宝要是免疫力差，容易感冒?   不爱吃饭，发育得不太好，这样的情况可以补一些锌哦。Bio Island?   锌是他同系列里口碑非常棒的产品，适合一岁以上的宝宝?增强免疫力?促进发育?提高食欲?保护良好视力。一瓶120粒小熊奶味咀嚼片? ，每天一粒。 http://t.cn/RAj3RvP,,2123961127,真实用户,普通用户,感冒
80,,0,79,,tian_三九,三线城市,0,2015/12/12 22:06,,原创,363,女,3.91935E+19,0,1,发烧,day|678|亲爱的|宝贝|昨晚|十点|终于|高烧|压下去|安稳|一觉|今天|发烧|精神|明显|好多|脾气|不肯|吃饭|不肯|吃药|妈妈|赌气|留给|妈妈|一个|可怜巴巴|背影|这种|情况|今天|发生|两次|外婆|脾气|妈妈|真不知道|一点|得住|调皮|没事人,隐形眼镜|健康|时尚|旅行|美瞳,乖乖的艾小兔,http://weibo.com/1819505005/D87mTm6fi,,,江苏,,泰州,568,,0,,,1,,新浪微博,2529,未打标签,iPhone 6s Plus,#day678# 亲爱的宝贝 昨晚十点多终于把你的高烧压下去你才安稳睡了一觉 今天不发烧了精神明显好多了 可脾气也上来了 不肯吃饭 不肯吃药 还跟妈妈赌气留给妈妈一个可怜巴巴的背影 而且这种情况今天发生了两次 外婆说你的脾气比妈妈还倔 真不知道再大一点要怎么治得住你个小调皮 这会已经跟没事人一样了,day678,1819505005,真实用户,微博达人,发烧
81,,0,392,1992,tian_三九,二线城市,0,2015/12/12 22:04,,转发,483,男,3.91935E+19,0,1,发烧,最大|辐射源|太阳|射下来,音乐|古风|翻唱|鸾凤鸣|唱歌,_流歌_,http://weibo.com/2622319775/D87lQmzHF,,,江苏,,南京,3058,,0,3.91915E+15,呵呵，孩子感冒发烧……,0,,新浪微博,1766,未打标签,OPPO智能手机,求把最大的辐射源太阳给射下来//@HawxGT:666//@显卡吧的那些事: 孩子感冒发烧，肯定是电脑辐射太严重，建议打开机箱，拔掉独立显卡丢进垃圾桶。在这里推荐intel的显卡，环保节能无辐射，自从隔壁邻居听我意见改用intel显卡，他家孩子砸了一段时间键盘后再也不打cf，lol了，不但视力提高，学习也上去了,,2622319775,真实用户,微博达人,发烧
82,,0,37,1990,tian_三九,二线城市,0,2015/12/12 22:00,,转发,81,女,3.91935E+19,0,1,发烧,呵呵|无知,,MissShan好多肉,http://weibo.com/5372844351/D87kjg0q4,,,福建,,福州,94,,0,3.91915E+15,呵呵，孩子感冒发烧……,-1,,新浪微博,65,未打标签,iPhone 6s,呵呵，无知。 //@段子精选:然后基站关了某天孩子真发烧了，120打不通[doge]//@来去之间: 那就拆了呗～//@戈蓝V:终于没忍住，呵呵了。,,5372844351,真实用户,普通用户,发烧
83,,0,179,,tian_三九,五线城市,0,2015/10/24 17:12,,原创,200,女,3.90152E+19,0,1,感冒,我的|忠实|铁杆|fans|92分|91分|90分|89分|89分|86分|86分|85分|84分|84分|铁杆|fans,,守望_Amour,http://weibo.com/5350140688/D0Dvje0v4,,,安徽,,,843,,0,,,1,,新浪微博,11010,未打标签,我的忠实铁杆Fan,我的忠实铁杆Fans是: @99的凯源(92分)@999小儿感冒灵颗粒(91分)@王中王牌烤肠(90分)@丨小皮卡丨(89分)@有钳任忻KYO(89分)@一座山和三滴水(86分)@-梨子果?-(86分)@蓝绿少年并肩十年(85分)@少女心泛滥的糙汉子(84分)@老王出山城(84分)，去看你的铁杆Fans>>http://t.cn/RLKpBYk,,5350140688,真实用户,普通用户,感冒
84,,0,647,1991,tian_三九,三线城市,0,2015/10/24 17:20,,原创,919,女,3.90152E+19,0,1,感冒,儿子|感冒|发烧|赶紧|给他|感冒,,衡欣益生菌-儿童灸董事宇轩妈,http://weibo.com/5186128960/D0DyceRyV,,,安徽,,安庆,2140,,0,,,-1,,新浪微博,184,未打标签,陌陌,儿子感冒发烧了，赶紧给他灸一灸，感冒快走！ http://t.cn/RUAz2eV,,5186128960,真实用户,普通用户,感冒
85,,1,21,,tian_三九,三线城市,3,2015/11/19 11:37,,转发,147,女,3.91086E+19,4,1,降温,赶紧|预备,旅游|音乐,蓝海清荫,http://weibo.com/3163651914/D4ypRsRyQ,,,江苏,,无锡,26,,0,3.91085E+15,【北方赛隆冬 江南要破冰 华南暑气结】即将出现的大冷，是同期少见的，北方气温连创新低，大面积破-10度，且这种酷寒，非一两天，而是至少持续到12月上旬。南方0度线南压至江南。合肥、南京-4度，武汉-2度，上海、长沙-1度！近期暖的不行的两广、海南、福建等地，气温也会大降，早晨变冷不少。具体看图,1,,新浪微博,7350,未打标签,金立智能手机,[围脖][太阳]?赶紧的预备备?[太阳][围脖]//@中国气象科普网:降温模式即将全面开启~[doge]羽绒服、羽绒裤、手套、围巾、热水袋、暖宝宝…还有啥[挖鼻]OMG！！[手套][围脖][温暖帽子],,3163651914,真实用户,普通用户,发烧
86,,0,30,2006,tian_三九,三线城市,0,2016/4/12 12:40,,原创,241,女,3.96342E+19,0,1,润肺,竹叶|粘性|腥味|特别|长期|食用|养颜护肤|延迟|皮肤|衰老|调养|肠胃|身体|健康|肌肤|细腻|润泽|光彩|竹叶|润肺|止咳|良好|功效|半斤|6头|竹叶|出货|宝宝|咳嗽|攻略|美容养生,旅行|旅游,滋参补品,http://weibo.com/3647909817/DqBNMDxwt,,,广东,,汕头,344,,0,,,1,,新浪微博,1486,未打标签,小米Note,竹叶胶炖后胶肉软糯，粘性高，且腥味特别小。长期食用，养颜护肤延迟皮肤衰老，调养肠胃，使得身体更加健康，肌肤更加细腻润泽光彩，同时竹叶胶对于润肺止咳有良好的功效。半斤6头竹叶胶出货！#宝宝咳嗽攻略##美容养生#,宝宝咳嗽攻略|美容养生,3647909817,真实用户,普通用户,上火热气
87,,0,277,1990,tian_三九,三线城市,0,2016/4/20 10:56,,原创,511,女,3.96629E+19,0,1,发烧,baby|儿童|孕妇|成人|老人|life|space|益生菌|系列|澳洲|多本|母婴杂志|评选|澳洲|最佳|母婴|益生菌|产品|适合|免疫力|容易|感冒|发烧|咳嗽|患有|湿疹|过敏性|体质|容易|腹泻|拉肚子|便秘|需要|调理肠胃|提高|免疫力|保持|身体|机能|健康,分娩|团购|音乐|电影|广州,iam浅笑lyq,http://weibo.com/1769789262/DrOxA5DEd,,,广东,,梅州,1774,,0,,,1,,新浪微博,1058,未打标签,iPhone 6s,baby、儿童、孕妇、成人、老人款均有！Life Space 的益生菌系列是澳洲多本母婴杂志评选为澳洲最佳的母婴益生菌产品。适合：1、免疫力较低，容易感冒发烧咳嗽 2、患有湿疹、过敏性体质 3、容易腹泻、拉肚子、便秘 4、需要调理肠胃 提高免疫力 保持身体机能健康 。,,1769789262,真实用户,微博达人,发烧
88,,0,25,,tian_三九,三线城市,2,2016/4/26 2:36,,原创,113,女,3.96834E+19,2,1,感冒,凌晨|两点|宝贝|感冒|鼻子|不通|难受|给他|白开水|今晚|不好|没关系|熊宝宝|感冒|瞌睡|明早|医生|希望|宝贝,周杰伦,王殊灵1990,http://weibo.com/1947382740/DsFPssC0u,,,四川,,南充,300,,0,,,1,,新浪微博,289,未打标签,三星Galaxy NOTE III,凌晨两点半宝贝因感冒鼻子不通难受醒了，给他喂了白开水，我今晚睡不好没关系，但求小熊宝宝不要因为感冒把瞌睡睡倒了就行。明早就去看医生，希望宝贝快些好起来。???,,1947382740,真实用户,普通用户,感冒
89,,0,22,,tian_三九,三线城市,0,2016/5/11 14:22,,原创,43,女,3.97395E+19,0,1,清热,五月|惠小花旗|具有|补气|滋阴|清热|补肾|润肺|治咳嗽|虚热|改善|失眠|恢复|精气|功效|小孩子|脾胃|虚弱|胃口|常用|花旗参|桂圆|效果很好|每天|几片|泡水|炖瘦肉|特别|甘香,,angel养生馆,http://weibo.com/5255930090/Dv1Rsx05W,,,广东,,茂名,79,,0,,,1,,新浪微博,353,未打标签,小米手机3,五月特惠小花旗参??? 具有补气滋阴、清热生津、补肾润肺、治咳嗽肺萎、虚热烦倦、改善失眠，恢复精气的功效..小孩子脾胃虚弱胃口差常用花旗参炖桂圆！效果很好！每天可拿几片泡水喝或者含着吃，炖瘦肉特别甘香[色][色][色],,5255930090,真实用户,普通用户,上火热气
90,,4,242,1994,tian_三九,一线城市,3,2016/1/23 12:50,,原创,529,女,3.93443E+19,7,1,降温,今天|上天|……|一早|起床|下雪|刷屏|南方|宝宝|默默|心里|巨大|白眼|鄙视|上海|降温|吹风|美的|地方|洗完|出门|真是|……|……|出门|之后|突然|觉得|下雪|太阳|好的|原谅,周杰伦|重庆|翻译|重庆大学|大学,三金噜噜噜,http://weibo.com/2416188927/DerFWivut,,,重庆,,沙坪坝区,670,,0,,,1,,新浪微博,1697,未打标签,iPhone 6,今天风大的快把我吹上天了……一早起床就被各种下雪刷屏，南方土宝宝默默的在心里翻了个巨大的白眼鄙视上海这个只会降温吹风不会下美美的雪的破地方?洗完脸甚至水乳都没抹就出门了真是越活越糙……?然而……出门之后突然觉得不会下雪会出大太阳也是极好的啊原谅它啦????,,2416188927,真实用户,微博达人,发烧
91,,0,15,1985,tian_三九,三线城市,0,2015/10/9 8:39,,原创,67,女,3.89595E+19,0,1,发烧,电影|宝儿|吹风|发烧|前天|晚上|昨天晚上|宝儿|早睡|老公|医院|买药|回来|一直|温水|孩子|身体|直到|晚上|11点|辛苦|老公|可怜|快点,,指凉EILEENC,http://weibo.com/1154968995/CEgbFgpIc,,,山东,,青岛,89,,0,,,-1,,新浪微博,479,未打标签,iPad mini,看个电影出来让宝儿吹风了，结果发烧，前天晚上昨天晚上，我累的和宝儿早睡了，老公跑去医院买药，回来一直用温水给孩子擦身体一直到晚上11点半，辛苦了老公，可怜的娃快点好起来吧。[可怜] http://t.cn/8keBYDZ,,1154968995,真实用户,普通用户,发烧
92,,0,49,1994,tian_三九,三线城市,1,2016/1/1 12:57,,转发,581,女,3.92646E+19,2,1,感冒,,鹿晗|边伯贤|EXO|都?秀|灿白,HunHanyo,http://weibo.com/3220427604/Db6jV1QEa,,,广东,,深圳,595,,1,3.92633E+15,#吴世勋你看起来很好吃# #吴世勋0110亮相四周年# @wu世勋-EXO 160101 exo vapp 世勋cut【中字】 http://t.cn/R4xVD2I .,0,,新浪微博,4485,未打标签,iPhone 5s,[可怜] //@Angel_勋鹿资源博:#吴世勋# #SEHUN# 宝宝感冒了[可怜],,3220427604,真实用户,普通用户,感冒
93,,0,2,,tian_三九,五线城市,0,2015/10/24 11:33,,原创,14,女,3.90143E+19,0,1,感冒,严重|感冒|希望|宝贝|有事,,Lovecrystallization,http://weibo.com/5313089127/D0BhpaC1e,,,河南,,,16,,0,,,1,,新浪微博,100,未打标签,小米手机2,严重感冒  希望宝贝不会有事,,5313089127,真实用户,普通用户,感冒
94,,0,151,,tian_三九,二线城市,0,2015/10/24 11:31,,原创,212,女,3.90143E+19,1,1,感冒,鲨鱼|睡袋|快来|秋冬季|防止|宝宝|受凉|感冒|里外|超级|舒适,TVB|育儿,JIn_曾,http://weibo.com/1928214784/D0BgK43aU,,,广东,,广州,584,,1,,,1,,新浪微博,151,未打标签,三星 GALAXY S5,鲨鱼睡袋 快来领???秋冬季节 防止宝宝受凉感冒!里外全棉超级舒适,,1928214784,真实用户,普通用户,感冒
95,,0,60,1987,tian_三九,二线城市,0,2015/11/3 14:26,,原创,372,女,3.9051E+19,0,1,上火,14|10|一阵|不爱|吃饭|特别|着急|上火|上周|突然|食欲|大增|每顿|吃的|好多|一周|半斤|分量|昨天|好好|吃饭|今天|现在|三口饭|通了|能吃|自然|孩子|不由,加多宝|宝宝|妈妈|广告|育儿,晓琼妞子,http://weibo.com/2684282443/D28GRlXnn,,,辽宁,,沈阳,443,,0,,,-1,,新浪微博,2042,未打标签,iPad客户端,14M10D，前一阵雷不爱吃饭我特别着急上火，就在上周突然食欲大增每顿都吃的好多，一周长了半斤的分量，可是从昨天开始又不好好吃饭了，今天到现在也没吃上三口饭，我想通了，你能吃多少就吃多少吧，想吃自然就吃了，孩子大了不由娘啊,,2684282443,真实用户,普通用户,上火热气
96,,0,24,1994,tian_三九,三线城市,0,2016/2/15 22:06,,原创,146,女,3.9429E+19,0,1,感冒,巧克力|香草|hc|羊奶|300粒|无比|超值|儿童|补钙|神器|羊奶|澳洲|healthy|care|羊奶|巧克力|咀嚼片|知道|羊奶|宝宝|容易|感冒|咳嗽|抵抗力|低下|营养价值|牛奶|2倍|更易|吸收|补钙|提高|免疫力|增强体质|全家|适用|东西|补充|营养|补血|坚固|骨骼,减肥,甜沙拉酱yummy,http://weibo.com/3285685011/Di094xB65,,,江苏,,无锡,1676,,0,,,1,,新浪微博,440,未打标签,iPhone 5s,巧克力味和香草味，hc的羊奶片300粒装，无比超值！儿童补钙神器羊奶片，澳洲healthy care山羊奶片巧克力味咀嚼片，大家都知道羊奶是奶中之王，有些宝宝容易感冒咳嗽，抵抗力低下，营养价值是牛奶的2倍，而且更易吸收！补钙，提高免疫力，增强体质，全家都适用的好东西，可补充营养补血补身，坚固骨骼。,,3285685011,真实用户,普通用户,感冒
97,,0,25,,tian_三九,其他,0,2015/11/18 10:45,,原创,544,女,3.91048E+19,0,1,咳嗽,宝宝|用品|这款|宝宝|泡澡|德国|品牌|含有|天然|植物|精油|成分|宝宝|轻微|咳嗽|鼻塞|感冒|症状|用来|泡澡|第二天|有效|减轻|感冒|症状|平时|用来|预防|感冒|咳嗽|重要|百里香|气味|闻哭|整个|房间|充满|百里香|推荐|需要|宝妈,婚礼|妈妈|宝宝|面相|旅行,微女王八家族猫小姐团队创始人,http://weibo.com/1317652542/D4oExE7rV,,,海外,,,246,,0,,,1,,新浪微博,275,未打标签,iPhone 6,#聊宝宝用品#这款是宝宝用的来泡澡的，德国的品牌，含有天然植物精油成分，在宝宝有轻微咳嗽、鼻塞等感冒症状时用来泡澡，第二天即能有效减轻感冒症状。平时用来预防感冒和咳嗽也非常好。最重要的是百里香的气味好闻哭了，稚宁泡完澡整个房间都充满了百里香的香芬。推荐给各位有需要的宝妈[爱心],聊宝宝用品,1317652542,真实用户,普通用户,咳嗽
98,,0,154,,tian_三九,二线城市,0,2016/2/13 20:34,,原创,195,男,3.94216E+19,0,1,发烧,挽救|生命|挽救|孩子|轻松|轻松|挽救|生命|挽救|我的|孩子|我的|儿子|李文轩|3岁|8个|2月|6日|发烧|呼吸|急促|阳山,,水-sky,http://weibo.com/1874927451/DhGGC17Oz,,,广东,,广州,382,,0,,,1,,新浪微博,1983,未打标签,分享按钮,#挽救生命…挽救我孩子-轻松筹# #轻松筹# 挽救生命，挽救我的孩子！！我的儿子李文轩，男，3岁8个月，2月6日因发烧呼吸急促在阳山 http://t.cn/RGV0ung,挽救生命…挽救我孩子-轻松筹|轻松筹,1874927451,真实用户,普通用户,发烧
99,,0,7,1992,tian_三九,二线城市,0,2015/10/13 20:53,,原创,154,女,3.89759E+19,0,1,解毒,黄瓜|具有|清热|利水|解毒|作用|许多|疾病|药理|研究|发现|黄瓜|含有|丙醇|可抑制|糖类|物质|脂肪|减肥|作用|下面|介绍|药用|方法|1.|痢疾|嫩黄瓜|食用|小儿|湿热|痢疾|2.|咽喉炎|黄瓜|1根|瓤子|风化|填满|阴于研|少许|吹入|咽部,旅行,YU-RS,http://weibo.com/2292470767/CEWHBm44C,,,江苏,,南京,2097,,0,,,1,,新浪微博,133,未打标签,微博 weibo.com,黄瓜具有清热、利水、解毒作用，能治许多疾病。 据药理研究发现，鲜黄瓜中含有丙醇二酸，可抑制糖类物质变脂肪，多吃有减肥作用。下面介绍它的药用方法：1.治痢疾：嫩黄瓜用蜜灸，食用能冶疗小儿湿热痢疾。2.治咽喉炎：用老黄瓜1根，去瓤子，用风化硝填满，阴于研未，少许吹入咽部。,,2292470767,真实用户,普通用户,上火热气
100,,0,38,1996,tian_三九,三线城市,0,2016/4/14 10:36,,原创,144,女,3.96411E+19,0,1,止咳,宝宝|容易|咳嗽|鼻塞|发热|晚上|哭闹|不好|妈妈|折腾|心疼|vicks|babybalsam|薄荷|适合|3个|5岁|小孩|妈妈|洗净|手掌心|取适量|薄荷|按摩|宝宝|胸口|太小|宝宝|宝宝|脚底|减轻|宝宝|不适|帮助|止咳|鼻子|通气|缓减|燥热|宝宝|舒舒服服|入睡|哭闹|大人|感冒|舒缓,时尚|演员,岑紫珊,http://weibo.com/2270121174/DqTQdtwbU,,,广东,,茂名,194,,0,,,-1,,新浪微博,91,未打标签,荣耀畅玩4X?快科技,?宝宝容易咳嗽鼻塞甚至发热 晚上哭闹睡不好 妈妈折腾又心疼 Vicks BabyBalsam 薄荷膏适合3个月到5岁的小孩 妈妈洗净手掌心搓热 取适量薄荷膏按摩于宝宝胸口 颈后，太小的宝宝请涂于宝宝脚底以减轻宝宝不适 帮助止咳鼻子通气 缓减燥热 让宝宝舒舒服服入睡 不再哭闹。其实大人感冒抹点也会舒缓很多。,,2270121174,真实用户,普通用户,咳嗽
101,,0,248,2013,tian_三九,三线城市,0,2015/8/2 18:02,,原创,520,女,3.87145E+19,0,1,干咳,澳洲|有效|小青蛙|prospan|止咳|糖浆|200|ml|小孩|支气管炎|咳嗽|管用|草本植物|成分|副作用|孩子|感冒|过后|都会|咳嗽|咳嗽|喉咙|澳洲|儿科医生|宝宝|糖浆|效果|极好|随便|抗生素|主要|用于|咳嗽|气管炎|干咳|止咳|化痰,汕头|电影|美食|手机|音乐,KJ家全球购,http://weibo.com/3211709165/CtYOHj6SD,,,广东,,汕头,569,,0,,,1,,新浪微博,8818,未打标签,三星Galaxy NOTE III,??澳洲最有效的小青蛙Prospan止咳糖浆200ml，对小孩支气管炎、咳嗽很管用喔，纯草本植物成分，无任何副作用，孩子感冒过后都会咳嗽，只要开始有些咳嗽，或者喉咙红，无论有痰没痰，澳洲儿科医生都先让宝宝喝这个糖浆，效果极好，不要随便吃抗生素噢，主要用于咳嗽气管炎干咳止咳镇咳化痰。,,3211709165,真实用户,普通用户,咳嗽
